"trial","sample","cell","time_in_ms","recording_name","hemi","genotype","sex","age","region"
88,7521,1,752.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
88,8315,1,831.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
88,10524,1,1052.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
88,13023,1,1302.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
88,14171,1,1417.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
88,15095,1,1509.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
89,13292,1,1329.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
89,14315,1,1431.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
89,15300,1,1530,"20080930002","LH","CBA/J","M","P30:60","ACx"
90,580,1,58,"20080930002","LH","CBA/J","M","P30:60","ACx"
90,3269,1,326.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
90,4510,1,451,"20080930002","LH","CBA/J","M","P30:60","ACx"
90,5162,1,516.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
90,10873,1,1087.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
91,824,1,82.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
91,3103,1,310.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
91,4026,1,402.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
91,6802,1,680.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
91,9848,1,984.8,"20080930002","LH","CBA/J","M","P30:60","ACx"
91,11562,1,1156.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
91,13749,1,1374.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
92,1056,1,105.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
92,1938,1,193.8,"20080930002","LH","CBA/J","M","P30:60","ACx"
92,4931,1,493.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
92,5769,1,576.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
93,1659,1,165.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
93,4430,1,443,"20080930002","LH","CBA/J","M","P30:60","ACx"
93,5998,1,599.8,"20080930002","LH","CBA/J","M","P30:60","ACx"
93,11841,1,1184.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
93,13014,1,1301.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
94,2186,1,218.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
94,2774,1,277.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
94,3850,1,385,"20080930002","LH","CBA/J","M","P30:60","ACx"
94,7547,1,754.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
